cis_name,name,lat,lon,country_code,region,district
"Oravský Biely Potok,,pošta","Oravský Biely Potok, pošta",49.28666,19.55529,SK,Žilinský,Tvrdošín
"Oravský Biely Potok,,Čuporák","Oravský Biely Potok, Čuporák",49.28754,19.56112,SK,Žilinský,Tvrdošín
"Habovka,,Pod Klinkovým vŕškom","Habovka, Pod Klinkovým vŕškom",49.2778,19.60416,SK,Žilinský,Tvrdošín
"Habovka,,Blatná dolina","Habovka, Blatná dolina",49.2778,19.61412,SK,Žilinský,Tvrdošín
"Habovka,,ZŠ","Habovka, ZŠ",49.27273,19.60628,SK,Žilinský,Tvrdošín
"Zuberec,,Šroba rázc.","Zuberec, Šroba rázc.",49.2641,19.60789,SK,Žilinský,Tvrdošín
"Zuberec,,pri kostole","Zuberec, pri kostole",49.25859,19.61257,SK,Žilinský,Tvrdošín
"Zuberec,,gar.SAD rázc.","Zuberec, gar.SAD rázc.",49.25853,19.61882,SK,Žilinský,Tvrdošín
"Zuberec,,Šiška","Zuberec, Šiška",49.25902,19.62677,SK,Žilinský,Tvrdošín
"Zuberec,,hotel Tatrawest","Zuberec, hotel Tatrawest",49.25928,19.64235,SK,Žilinský,Tvrdošín
"Zuberec,,Števkovka","Zuberec, Števkovka",49.25867,19.65049,SK,Žilinský,Tvrdošín
"Zuberec,,Brestová skanzen","Zuberec,,Brestová skanzen",49.25175,19.70021,SK,Žilinský,Tvrdošín
"Zuberec,,chata Primula","Zuberec,,Brestová skanzen",49.25175,19.70021,SK,Žilinský,Tvrdošín
"Zuberec,,Tatliakova chata rázc.","Zuberec, Tatliakova chata rázc.",49.24461,19.71056,SK,Žilinský,Tvrdošín
"Zuberec,,Zverovka chata","Zuberec, Zverovka chata",49.2486,19.71099,SK,Žilinský,Tvrdošín
"Zuberec,,Lom-Spády","Zuberec, Lom-Spády",49.23736,19.59925,SK,Žilinský,Tvrdošín
"Huty,,Javorinský potok","Huty, Javorinský potok",49.22037,19.59351,SK,Žilinský,Liptovský Mikuláš
"Lipt.Matiašovce,,SSC","Liptovské Matiašovce, SSC",49.16726,19.56337,SK,Žilinský,Liptovský Mikuláš
"Lipt.Matiašovce,Vyšné Matiašovce","Liptovské Matiašovce, Vyšné Matiašovce",49.16142,19.55645,SK,Žilinský,Liptovský Mikuláš
"Lipt.Matiašovce,,pož.zbroj.","Liptovské Matiašovce, pož.zbroj.",49.15256,19.54672,SK,Žilinský,Liptovský Mikuláš
"Lipt.Matiašovce,,rázc.","Liptovské Matiašovce, rázc.",49.15173,19.5299,SK,Žilinský,Liptovský Mikuláš
"Lipt.Sielnica,,PS","Liptovská Sielnica, PS",49.14507,19.51389,SK,Žilinský,Liptovský Mikuláš
"Lipt.Sielnica,,rázc.","Liptovská Sielnica, rázc.",49.13546,19.51473,SK,Žilinský,Liptovský Mikuláš
"Lipt.Trnovec,,ZŠ","Liptovský Trnovec, ZŠ",49.12107,19.54725,SK,Žilinský,Liptovský Mikuláš
"Lipt.Trnovec,,rázc.","Liptovský Trnovec, rázc.",49.11403,19.54612,SK,Žilinský,Liptovský Mikuláš
"Lipt.Trnovec,,ATC","Liptovský Trnovec, ATC",49.11338,19.54595,SK,Žilinský,Liptovský Mikuláš
"Lipt.Mikuláš,,Aqua Park","Liptovský Mikuláš, Aqua Park",49.1051169,19.5700607,SK,Žilinský,Liptovský Mikuláš
"Lipt.Mikuláš,Lipt.Ondrašová,most","Liptovský Mikuláš, Lipt.Ondrašová, most",49.09477,19.58992,SK,Žilinský,Liptovský Mikuláš
"Lipt.Mikuláš,,hotel Jánošík","Liptovský Mikuláš, hotel Jánošík",49.08768,19.60359,SK,Žilinský,Liptovský Mikuláš
"Lipt.Mikuláš,,Komenského ul.MŠ","Liptovský Mikuláš, Komenského ul.MŠ",49.08815,19.60454,SK,Žilinský,Liptovský Mikuláš
"Lipt.Mikuláš,,AS","Lipt. Mikuláš, AS výstup",49.091,19.60631,SK,Žilinský,Liptovský Mikuláš
"Dolný Kubín,,nem.","Dolný Kubín, nem.",49.21326,19.30375,SK,Žilinský,Dolný Kubín
"Dolný Kubín,,Matúškova","Dolný Kubín, Matúškova",49.20528,19.30098,SK,Žilinský,Dolný Kubín
"Dolný Kubín,,gymnázium","Dolný Kubín, gymnázium",49.20783,19.29855,SK,Žilinský,Dolný Kubín
"Dolný Kubín,Kňažia,ZŠ","Dolný Kubín, Kňažia, ZŠ",49.23383,19.31867,SK,Žilinský,Dolný Kubín
"Dolný Kubín,Mokraď,rázc.","Dolný Kubín, Mokraď, rázc.",49.23454,19.3099,SK,Žilinský,Dolný Kubín
"Bziny,,žel.zast.","Bziny, žel.zast.",49.22964,19.32003,SK,Žilinský,Dolný Kubín
"Medzibrodie n.Oravou,,pri moste","Medzibrodie nad Oravou, pri moste",49.23213,19.34397,SK,Žilinský,Dolný Kubín
"Medzibrodie n.Oravou,,žel.st.rázc.","Medzibrodie nad Oravou, žel.st.rázc.",49.23704,19.34331,SK,Žilinský,Dolný Kubín
"Medzibrodie n.Oravou,,žel.st.","Medzibrodie nad Oravou, žel.st.",49.23395,19.34629,SK,Žilinský,Dolný Kubín
"Medzibrodie n.Oravou,,Pod Benkovom","Medzibrodie nad Oravou, Pod Benkovom",49.24117,19.34834,SK,Žilinský,Dolný Kubín
"Pucov,,Jaseník","Pucov, Jaseník",49.23077,19.36422,SK,Žilinský,Dolný Kubín
"Pucov,,mlyn","Pucov, mlyn",49.22341,19.36937,SK,Žilinský,Dolný Kubín
"Pucov,,OcÚ","Pucov, OcÚ",49.21823,19.37819,SK,Žilinský,Dolný Kubín
"Pucov,,Rokytník","Pucov, Rokytník",49.2172,19.38472,SK,Žilinský,Dolný Kubín
"Pucov,,RD","Pucov, RD",49.21285,19.38994,SK,Žilinský,Dolný Kubín
"Pokryváč,,Ticháň","Pokryváč, Ticháň",49.20503,19.39207,SK,Žilinský,Dolný Kubín
"Pokryváč,,pri moste","Pokryváč, pri moste",49.20163,19.39492,SK,Žilinský,Dolný Kubín
Vavrečka,Vavrečka,49.38932,19.46836,SK,Žilinský,Námestovo
"Ťapešovo,,rázc.","Ťapešovo, rázc.",49.38119,19.43484,SK,Žilinský,Námestovo
"Oravská Lesná,,Vrábeľ","Oravská Lesná, Vrábeľ",49.36735,19.17242,SK,Žilinský,Námestovo
"Oravská Lesná,,Turoň","Oravská Lesná, Turoň",49.36687,19.16401,SK,Žilinský,Námestovo
"Oravská Lesná,,Hablák","Oravská Lesná, Hablák",49.36259,19.15861,SK,Žilinský,Námestovo
"Oravská Lesná,,Beskyd","Oravská Lesná, Beskyd",49.3607,19.15313,SK,Žilinský,Námestovo
"Oravská Lesná,Kubínska,kaplnka","Oravská Lesná, Kubínska, kaplnka",49.3663,19.13167,SK,Žilinský,Čadca
"Nová Bystrica,Vychylovka,polesie","Nová Bystrica, Vychylovka, polesie",49.36797,19.05442,SK,Žilinský,Čadca
"Nová Bystrica,Vychylovka,Pavelkovia","Nová Bystrica, Vychylovka, Pavelkovia",49.36295,19.05021,SK,Žilinský,Čadca
"Nová Bystrica,Vychylovka,Grigovia","Nová Bystrica, Vychylovka, Grigovia",49.36074,19.04621,SK,Žilinský,Čadca
"Nová Bystrica,Vychylovka,Talapkovia","Nová Bystrica, Vychylovka, Talapkovia",49.35801,19.03764,SK,Žilinský,Čadca
"Nová Bystrica,Vychylovka,Granátov","Nová Bystrica, Vychylovka, Granátov",49.3541,19.02941,SK,Žilinský,Čadca
"Nová Bystrica,,Škorvaga","Nová Bystrica, Škorvaga",49.34416,19.02297,SK,Žilinský,Čadca
"Nová Bystrica,,ZŠ","Nová Bystrica, ZŠ",49.3445,19.01307,SK,Žilinský,Čadca
"Nová Bystrica,,Andrisovia","Nová Bystrica, Andrisovia",49.34413,19.00352,SK,Žilinský,Čadca
"Nová Bystrica,,Cadrikovia","Nová Bystrica, Cadrikovia",49.3452,18.99562,SK,Žilinský,Čadca
"Nová Bystrica,,Hanidžiar","Nová Bystrica, Hanidžiar",49.34743,18.98868,SK,Žilinský,Čadca
"Nová Bystrica,,Rajnoha","Nová Bystrica, Rajnoha",49.34836,18.97655,SK,Žilinský,Čadca
"Stará Bystrica,,Žovín","Stará Bystrica, Žovín",49.34893,18.96628,SK,Žilinský,Čadca
"Stará Bystrica,,Bartek","Stará Bystrica, Bartek",49.34763,18.95453,SK,Žilinský,Čadca
